Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions,Raining Today,Raining Tomorrow
"Harare, Zimbabwe",2007-09-01,29.9,10.9,21.2,,28.1,0,,,16.6,,,12.4,0,26.79,Clear,No,No
"Harare, Zimbabwe",2007-09-02,27.6,11.1,19.4,,26.3,0,,,10.7,,,9.6,0,31.67,Clear,No,No
"Harare, Zimbabwe",2007-09-03,28.6,15.2,22.5,,27.1,0,,,21.4,,,8.2,0,12.55,Clear,No,No
"Harare, Zimbabwe",2007-09-04,26.2,11.2,19.7,,,0,,,25,,,8.3,0,27.79,Clear,No,No
"Harare, Zimbabwe",2007-09-05,27.1,12.9,20.1,,26.1,0,,,14.8,,,7,0,34.86,Clear,No,No
"Harare, Zimbabwe",2007-09-06,27.1,12.1,19.8,,26,0,,,20.5,,,7,0,36.34,Clear,No,No
"Harare, Zimbabwe",2007-09-07,27.8,14.1,20.9,,26.8,0,,,27.7,,,5.7,7.2,45.41,Clear,No,No
"Harare, Zimbabwe",2007-09-08,29.1,10.1,20.7,,27.7,0,,,18.4,,,5.4,7.5,49.34,Clear,No,No
"Harare, Zimbabwe",2007-09-09,31.1,13.1,21.8,,29,0,,,18.4,,,5.8,0,33.96,Clear,No,No
"Harare, Zimbabwe",2007-09-10,30.3,12.9,21.3,,28.4,0,,,14.8,,,5.6,0,40.59,Clear,No,No
"Harare, Zimbabwe",2007-09-11,30.6,10.1,20.5,,28.6,0,,,25.9,,,8.4,0,31.8,Clear,No,No
"Harare, Zimbabwe",2007-09-12,30.1,12.1,21.3,,28.2,0,,,29.5,,,7,0,22.05,Clear,No,No
"Harare, Zimbabwe",2007-09-13,27.1,11.1,19,,25.9,0,,,29.5,,,8.8,0,30.22,Clear,No,No
"Harare, Zimbabwe",2007-09-14,27.1,10.1,19.2,,25.9,0,,,18.4,,,10,0,32.21,Clear,No,No
"Harare, Zimbabwe",2007-09-15,27.1,10.7,18.5,,25.9,0,,,27.7,,,10.8,0,27.7,Clear,No,No
"Harare, Zimbabwe",2007-09-16,29.4,11.1,21,,27.6,0,,,14.8,,,9.9,0,29.8,Clear,No,No
"Harare, Zimbabwe",2007-09-17,27.6,11.9,20.5,,26.5,0,,,35.3,,,10.9,3.2,34.09,Clear,No,No
"Harare, Zimbabwe",2007-09-18,27.2,11.4,18.6,,26.2,0,,,33.5,,,11,21.9,56.45,Clear,No,Yes
"Harare, Zimbabwe",2007-09-19,27.1,12.4,20.6,,26.1,2,,,18.4,,,8.7,16.5,46.55,Rain,Yes,No
"Harare, Zimbabwe",2007-09-20,28.1,10.1,19.8,,26.7,0,,,18.4,,,9.5,2.3,45.45,Clear,No,No
"Harare, Zimbabwe",2007-09-21,28.1,14.1,21.3,,26.9,0,,,29.5,,,9.9,13.5,43.14,Clear,No,No
"Harare, Zimbabwe",2007-09-22,30.1,14.7,22.4,,28.4,0,,,16.6,,,7.6,59.7,47.48,Partially cloudy,No,No
"Harare, Zimbabwe",2007-09-23,31.2,17.1,23.5,,29.3,0,,,16.6,,,8.4,64.5,45.58,Partially cloudy,No,No
"Harare, Zimbabwe",2007-09-24,32.1,19.1,25.4,,29.9,0,,,20.5,,,7.3,52,34.45,Partially cloudy,No,No
"Harare, Zimbabwe",2007-09-25,28.1,17.1,21.6,,27.5,0,,,31.3,,,7,65.3,62.67,Partially cloudy,No,No
"Harare, Zimbabwe",2007-09-26,26.1,14.7,19.4,,,0,,,29.5,,,11,21.4,63.59,Clear,No,No
"Harare, Zimbabwe",2007-09-27,26.1,11.9,18.5,,,0,,,24.1,,,10.9,26.4,58.01,Partially cloudy,No,No
"Harare, Zimbabwe",2007-09-28,27,13.7,20.1,,26.4,0,,,33.5,,,8.4,19.8,51.17,Clear,No,Yes
"Harare, Zimbabwe",2007-09-29,23.3,15.1,19.1,,,1.25,,,30.4,,,7.4,61.5,63.82,"Rain, Partially cloudy",Yes,No
"Harare, Zimbabwe",2007-09-30,29.1,17.1,22.1,,27.7,0,,,35.3,,,8.6,37.2,53.45,Partially cloudy,No,Yes
"Harare, Zimbabwe",2007-10-01,26.1,16.1,21,,,0.3,,,31.3,,,7.1,58,59.57,"Rain, Partially cloudy",Yes,No
"Harare, Zimbabwe",2007-10-02,28.1,16.4,21.9,,27.2,0,,,27.7,,,7.2,42,52.27,Partially cloudy,No,No
"Harare, Zimbabwe",2007-10-03,29.9,16.9,23.9,,28.2,0,,,20.5,,,7.3,41.9,40.3,Partially cloudy,No,No
"Harare, Zimbabwe",2007-10-04,20.1,20.1,20.1,,,0,,,13,,,6,90,49.14,Overcast,No,No
"Harare, Zimbabwe",2007-10-05,,,,,,0,,,,,,,,,,No,No
"Harare, Zimbabwe",2007-10-06,,,,,,0,,,,,,,,,,No,No
"Harare, Zimbabwe",2007-10-07,32.1,23.1,26.3,,29.9,0,,,31.3,,,4.4,6,26.62,Clear,No,No
"Harare, Zimbabwe",2007-10-08,31.6,20.2,26,,29.4,0,,,22.3,,,9.1,4.1,24.81,Clear,No,No
"Harare, Zimbabwe",2007-10-09,30.6,19.6,24.3,,28.7,0,,,27.7,,,8.9,0,32.8,Clear,No,No
"Harare, Zimbabwe",2007-10-10,31.1,18.9,25.6,,29.1,0,,,27.7,,,7.8,24.3,34.74,Clear,No,No
"Harare, Zimbabwe",2007-10-11,27.9,15.7,21.2,,26.8,0,,,27.7,,,11,12.9,52.07,Clear,No,No
"Harare, Zimbabwe",2007-10-12,28,13.1,20.8,,26.8,0,,,21.7,,,14.4,8.6,51.76,Clear,No,No
"Harare, Zimbabwe",2007-10-13,28.3,12.7,21.6,,26.9,0,,,23.1,,,12.4,1.9,36.88,Clear,No,No
"Harare, Zimbabwe",2007-10-14,26.1,12.1,18.6,,,0,,,16.6,,,9.9,5,47.59,Clear,No,No
"Harare, Zimbabwe",2007-10-15,30.1,14.6,21,,28.2,0,,,18.4,,,10.8,4.9,39.53,Clear,No,No
"Harare, Zimbabwe",2007-10-16,29.5,16.1,22.7,,27.8,0,,,24.1,,,9.7,3.9,35.33,Clear,No,No
"Harare, Zimbabwe",2007-10-17,28.1,14.1,21.8,,26.9,0,,,21.6,,,11.3,7.2,44.5,Clear,No,No
"Harare, Zimbabwe",2007-10-18,29.1,13.9,23.2,,27.4,0,,,22.3,,,11.1,5.9,31.64,Clear,No,No
"Harare, Zimbabwe",2007-10-19,28.1,14.1,21.2,,26.8,0,,,18.4,,,9.3,6,41.6,Clear,No,No
"Harare, Zimbabwe",2007-10-20,27.1,13.7,20.1,,26.5,0,,,20.5,,,12.1,19.7,55.63,Clear,No,No
"Harare, Zimbabwe",2007-10-21,26.1,11.9,19.6,,,0,,,24.1,,,14,24.4,58.13,Clear,No,No
"Harare, Zimbabwe",2007-10-22,26.6,12.4,20.5,,,0,,,18.4,,,17,11.2,50.53,Clear,No,No
"Harare, Zimbabwe",2007-10-23,29.5,15.1,22.5,,27.9,0,,,16.6,,,14.2,5.9,40.68,Clear,No,No
